Stake,Label,Horizon,Start Depth (cm),End Depth (cm),Structure,Consistency,Mottled,%Clay,%Silt,%Sand
S246,S246-2,E,14,20,granular,friable,,12.87128713,23.89438944,63.23432343
S246,S246-3,B,20,31,granular,friable,,17.82178218,20.1320132,62.04620462
S246,S246-4,BC,31,44,granular/blocky,friable/firm,,28.71287129,19.14191419,52.14521452
S246,S246-5,CB,44,60,blocky/granular,firm/friable,,43.56435644,17.16171617,39.27392739
S246,S246-6,C,60,100,blocky,firm,,45.54455446,16.17161716,38.28382838
S254,S254-1,A,0,10,granular,friable,,14.65346535,34.32343234,51.02310231
S254,S254-2,E,10,19,granular,friable,,16.63366337,33.99339934,49.37293729
S254,S254-3,B1,19,26,granular,friable,,17.62376238,32.67326733,49.7029703
S254,S254-4,B2,26,46,granular,friable,,23.56435644,16.50165017,59.9339934
S254,S254-5,CB,46,69,blocky,firm,,31.48514851,17.49174917,51.02310231
S254,S254-6,2BC,69,86,granular,firm/friable,,25.54455446,6.930693069,67.52475248
S254,S254-7,2C,86,100,single/granular,loose/friable,,12.67326733,3.96039604,83.36633663
S255,S255-1,A,0,6,granular,friable,,11.68316832,35.31353135,53.00330033
S255,S255-2,E,6,16,granular,friable,,11.68316832,28.71287129,59.6039604
S255,S255-3,B1,16,29,granular,friable,,13.66336634,22.11221122,64.22442244
S255,S255-4,B2,29,47,granular,friable,,15.64356436,24.09240924,60.2640264
S255,S255-5,BC,47,60,blocky,firm,,31.48514851,21.45214521,47.06270627
S255,S255-6,CB,60,72,granular,firm,,24.55445545,20.4620462,54.98349835
S255,S255-7,C,72,100,blocky,firm,,43.36633663,16.83168317,39.8019802
S603,S603-1,A,0,11,granular,loose/friable,,8.712871287,25.08250825,66.20462046
S603,S603-2,E,11,19,single/granular,loose/friable,,10.69306931,19.8019802,69.5049505
S603,S603-3,B1,19,29,single/granular,loose/friable,,10.69306931,19.8019802,69.5049505
S603,S603-4,B2,29,42,single/granular,loose/friable,,11.08910891,16.76567657,72.14521452
S603,S603-5,BC,42,48,granular,friable,,26.93069307,18.08580858,54.98349835
S603,S603-6,CB,48,57,granular/blocky,friable/firm,,38.81188119,16.10561056,45.08250825
S603,S603-7,C,57,100,blocky,firm,,38.81188119,17.42574257,43.76237624
S601,S601-1,A,0,9,granular,friable,,14.65,23.1,62.24
S601,S601-2,E,9,18,granular,friable,,14.65346535,23.76237624,61.58415842
S601,S601-3,B1,18,39,granular,friable,,16.63366337,18.48184818,64.88448845
S601,S601-4,B2,39,66,granular,friable,,14.65346535,11.88118812,73.46534653
S601,S601-5,CB,66,78,blocky,firm,,30.4950495,17.82178218,51.68316832
S601,S601-6,C,78,102,blocky,firm,,40.3960396,17.16171617,42.44224422
S602,S602-1,A,0,13,granular,friable,,9.108910891,38.54785479,52.34323432
S602,S602-2,AB,13,25,granular,friable,,15.04950495,33.66336634,51.28712871
S602,S602-3,B1,25,38,granular,friable,,22.97029703,42.90429043,34.12541254
S602,S602-4,B2,38,46,granular,friable,,15.04950495,22.44224422,62.50825083
S602,S602-5,B3,46,76,granular,friable,,13.06930693,11.88118812,75.04950495
S602,S602-6,C,76,100,blocky,firm,,28.91089109,19.14191419,51.94719472
S613,S613-1,A,1,9,granular,friable,,12.67326733,13.06930693,74.25742574
S613,S613-2,E,9,15,granular,friable,,12.67326733,15.37953795,71.94719472
S613,S613-3,B1,15,30,granular,friable,,16.63366337,9.174917492,74.19141914
S613,S613-4,B2,30,45,granular/blocky,friable,,12.67326733,5.214521452,82.11221122
S613,S613-5,CB,45,86,blocky,firm,,50.2970297,15.11551155,34.58745875
S613,S613-6,C,86,100,blocky,firm,,46.33663366,15.77557756,37.88778878
S614,S614-1,A,1,6,granular,friable,,10.69306931,22.44224422,66.86468647
S614,S614-2,E,6,16,granular,friable,,14.65346535,27.06270627,58.28382838
S614,S614-3,B,16,29,granular,friable,,14.65346535,27.06270627,58.28382838
S614,S614-4,BC,29,52,granular/blocky,friable/firm,,12.67326733,17.16171617,70.1650165
S614,S614-5,C,52,75,blocky,firm,,16.63366337,12.54125413,70.82508251
S621,S621-1,A,1,11,granular,friable,,9.108910891,21.78217822,69.10891089
S621,S621-2,E,11,22,granular,friable,,11.08910891,13.20132013,75.70957096
S621,S621-3,B,22,56,granular,friable,,9.108910891,15.84158416,75.04950495
S621,S621-4,BC,56,76,granular,friable,,7.128712871,9.900990099,82.97029703
S622,S622-1,A,1,7,granular,friable,,8.712871287,24.68646865,66.60066007
S622,S622-2,E,7,18,granular,friable,,10.69306931,18.48184818,70.82508251
S622,S622-3,B1,18,28,granular,friable,,12.67326733,18.48184818,68.84488449
S622,S622-4,B2,28,48,granular,friable,,16.63366337,21.78217822,61.58415842
S624,S624-1,A,1,8,granular/blocky,friable,,8.316831683,26.00660066,65.67656766
S624,S624-2,E,8,13,granular/blocky,friable,,14.25742574,22.70627063,63.03630363
S624,S624-3,B,13,26,granular/blocky,friable,,14.25742574,24.68646865,61.05610561
S624,S624-4,BC,26,37,blocky,firm,,20.1980198,21.38613861,58.41584158
S624,S624-5,CB,37,61,blocky,firm,,38.01980198,18.74587459,43.23432343
S624,S624-6,C,61,90,blocky,firm,,38.41584158,19.669967,41.91419142
S625,S625-1,A,1,9,granular/blocky,friable,,8.712871287,24.95049505,66.33663366
S625,S625-2,E,9,17,granular/blocky,friable,,10.69306931,24.42244224,64.88448845
S625,S625-3,B1,17,28,granular/blocky,friable,,12.67326733,21.78217822,65.54455446
S625,S625-4,B2,28,53,granular/blocky,friable,mottled,12.67326733,17.82178218,69.5049505
S625,S625-5,BC,53,71,blocky,friable/firm,mottled,28.51485149,19.14191419,52.34323432
S625,S625-6,C,71,100,blocky,firm,,34.45544554,20.4620462,45.08250825
S631,S631-1,A,0,12,granular,friable,,10.69306931,29.04290429,60.2640264
S631,S631-2,E,12,18,granular,friable,,16.63366337,29.7029703,53.66336634
S631,S631-3,B,18,32,blocky,firm,,34.05940594,20.72607261,45.21452145
S631,S631-4,BC,32,60,blocky,firm,,47.92079208,16.76567657,35.31353135
S631,S631-5,C,60,100,blocky,firm,,40,18.74587459,41.25412541
S632,S632-1,A,1,10,granular,friable,,12.67326733,21.38613861,65.94059406
S632,S632-2,E,10,18,granular,friable,,10.69306931,30.62706271,58.67986799
S632,S632-3,B1,18,33,granular,friable,,12.67326733,17.42574257,69.9009901
S632,S632-4,B2,33,53,granular,friable,,10.69306931,19.40594059,69.9009901
S632,S632-5,B3,53,66,granular,friable,,10.69306931,9.504950495,79.8019802
S632,S632-6,BC,66,90,granular,friable,,10.69306931,11.48514851,77.82178218
S632,S632-7,C,90,100,granular/blocky,friable,mottled,12.67326733,20.0660066,67.26072607
S633,S633 -1,A,1,7,granular,friable,,8.712871287,17.82178218,73.46534653
S633,S633 -2,E,7,12,granular,friable,,8.712871287,15.84158416,75.44554455
S633,S633 -3,B1,12,39,granular,friable,,12.67326733,11.88118812,75.44554455
S633,S633 -4,B2,39,51,granular,friable,,10.69306931,12.54125413,76.76567657
S633,S633 -5,BC,51,64,single,loose,,14.25742574,10.82508251,74.91749175
S633,S633 -6,C,64,100,blocky,firm,mottled,34.05940594,19.40594059,46.53465347
S635,S635-1,A,1,9,granular/blocky,friable,,12.27722772,24.02640264,63.69636964
S635,S635-2,E,9,17,granular,friable,,14.25742574,21.38613861,64.35643564
S635,S635-3,B1,17,24,granular/blocky,firm,,22.17821782,23.36633663,54.45544554
S635,S635-4,B2,24,58,massive,firm,,41.98019802,18.08580858,39.9339934
S635,S635-5,CB,58,62,blocky,firm,,43.96039604,16.76567657,39.27392739
S635,S635-6,C,62,100,granular/blocky,firm,,36.03960396,20.0660066,43.89438944
S636,S636-1,A,0,12,granular,friable,,11.08910891,25.74257426,63.16831683
S636,S636-2,E,12,18,granular,friable,,13.06930693,23.10231023,63.82838284
S636,S636-3,B,18,30,granular/blocky,friable,,15.04950495,19.14191419,65.80858086
S636,S636-4,CB,30,49,blocky,firm,,28.91089109,21.12211221,49.9669967
S636,S636-5,C,49,100,blocky,firm,,40.79207921,15.84158416,43.36633663
S642,S642-1,A,0,16,granular,friable,,10.2970297,18.08580858,71.61716172
S642,S642-2,B1,16,32,granular,friable,,10.2970297,16.76567657,72.93729373
S642,S642-3,B2,32,50,granular,friable,,10.2970297,21.38613861,68.31683168
S642,S642-4,B3,50,80,granular,friable,,10.2970297,8.184818482,81.51815182
S642,S642-5,CB,80,93,blocky,frim,,40.3960396,16.10561056,43.49834983
S642,S642-6,C,93,100,granular/single,firm/loose,,14.65346535,8.844884488,76.50165017
S643,S643-1,A,1,10,granular,friable,,9.900990099,27.72277228,62.37623762
S643,S643-2,E,10,18,granular,friable,,11.88118812,27.72277228,60.3960396
S643,S643-3,B1,18,37,granular/blocky,friable,,11.88118812,13.20132013,74.91749175
S643,S643-4,B2,37,60,granular/blocky,friable,,9.900990099,8.580858086,81.51815182
S643,S643-5,CB,60,74,blocky,firm,,27.72277228,19.8019802,52.47524752
S643,S643-6,Ab,74,84,granular,friable/firm,,11.88118812,13.86138614,74.25742574
S643,S643-7,C,84,100,blocky,firm,,34.05940594,18.08580858,47.85478548
S644,S644-1,A,0,9,granular,friable,,9.108910891,14.52145215,76.36963696
S644,S644-2,E,9,19,granular,friable,,9.108910891,15.84158416,75.04950495
S644,S644-3,B1,9,45,granular,friable,,11.08910891,11.88118812,77.02970297
S644,S644-4,B2,45,62,granular,friable,,9.108910891,12.54125413,78.34983498
S654,S654-1,A,0,10,granular,friable,,12.27722772,23.10231023,64.62046205
S654,S654-2,E,10,20,granular,friable,,10.69306931,24.02640264,65.28052805
S654,S654-3,B1,20,9,granular,friable,,12.67326733,16.76567657,70.56105611
S654,S654-4,B2,39,65,granular,friable,,10.69306931,11.48514851,77.82178218
S654,S654-5,BC,65,78,granular,friable,,12.67326733,26.66666667,60.66006601
S655,S655-1,A,0,8,granular,friable,,12.27722772,25.34653465,62.37623762
S655,S655-2,E,8,15,granular/blocky,friable,,14.25742574,19.40594059,66.33663366
S655,S655-3,B1,15,25,granular,friable,slightly mottled,14.25742574,21.78217822,63.96039604
S655,S655-4,B2,25,35,granular/blocky,friable,slightly mottled,20.1980198,31.02310231,48.77887789
S655,S655-5,BC,35,61,granular,friable,slightly mottled,14.25742574,15.84158416,69.9009901
S655,S655-6,CB,61,100,blocky,friable/firm,,24.15841584,8.580858086,67.26072607
